community_id,conn_state,duration,history,src_ip_zeek,src_port_zeek,dest_ip_zeek,dest_port_zeek,local_orig,local_resp,missed_bytes,orig_bytes,orig_ip_bytes,orig_pkts,proto,resp_bytes,resp_ip_bytes,resp_pkts,service,ts,uid,datetime,label_tactic,label_technique,label_binary,label_cve
1:9M7aoTCYyFk2CoqNtjQhSr8vyXc=,RSTR,9.804173946380615,ShADTadtTtTtFr,143.88.1.18,35803,143.88.2.20,445,false,false,0,15527,74512,216,tcp,4810,29928,204,"gssapi,dce_rpc,ntlm,smb",1.710846119149503E9,CV9GMsdwbqA8j4gT5,2024-03-19T11:01:59.149Z,Exfiltration,T1048,True,none
1:+XvKesFowD7EVt/cmGOovCsVJ7M=,RSTO,0.0028219223022460938,ShR,143.88.1.18,52160,143.88.2.20,445,false,false,0,0,336,8,tcp,0,176,4,,1.709502692203207E9,CzHRPF3B4JxLi0dfLh,2024-03-03T21:51:32.203Z,Exfiltration,T1048,True,none
1:kTDIlI4Y40oy8JnnvkE1q6S7Tlc=,RSTO,0.2291569709777832,ShADTdtTtR,143.88.1.18,46301,143.88.2.20,445,false,false,0,7573,34900,88,tcp,2102,12392,76,"ntlm,smb,gssapi",1.709331728364485E9,CMdXu91QzeBY9IO69b,2024-03-01T22:22:08.364Z,Exfiltration,T1048,True,none
1:J3LcGZyZ0MMEewy0L/nVdfSh7gM=,RSTR,10.167825937271118,ShADTadtTtTtFr,143.88.1.18,40369,143.88.2.20,445,false,false,0,15763,76704,240,tcp,4978,31016,212,"ntlm,dce_rpc,smb,gssapi",1.709387191505069E9,CuByHU17Iq57Wqp0Va,2024-03-02T13:46:31.505Z,Exfiltration,T1048,True,none
1:PsW52apvVm4DT/Zo692PRZGQO8c=,RSTR,10.546190977096558,ShADTadtTtTtFr,143.88.1.18,34337,143.88.2.20,445,false,false,0,16115,76640,228,tcp,5278,32584,220,"dce_rpc,ntlm,smb,gssapi",1.709401695087392E9,Ccpu201Y5K0wOW7ca5,2024-03-02T17:48:15.087Z,Exfiltration,T1048,True,none
1:0WA8iorgMBE5I3KC9JXjp3kcIwk=,RSTR,0.6150579452514648,ShADTdtTtTtFar,143.88.1.18,37181,143.88.2.20,445,false,false,0,15279,70508,180,tcp,4642,27704,176,"ntlm,dce_rpc,smb,gssapi",1.709323981112934E9,CGSYPLIVHhcWislj,2024-03-01T20:13:01.112Z,Exfiltration,T1048,True,none
1:Apk5N5DlW0TV07r4EKHTv7EPH1s=,RSTO,7.787971019744873,ShADTadtTtTR,143.88.1.18,44577,143.88.2.20,445,false,false,0,17337,79048,164,tcp,3318,21928,164,"ntlm,gssapi,smb",1.710508728225599E9,C8rXooUbOXoCTbbpa,2024-03-15T13:18:48.225Z,Exfiltration,T1048,True,none
1:WAtHBsq6jTkYnarKUOBHcmoOwnQ=,RSTR,0.7328429222106934,ShADTdtTtTtFar,143.88.1.18,46611,143.88.2.20,445,false,false,0,15623,73340,208,tcp,4870,29240,188,"gssapi,dce_rpc,ntlm,smb",1.710374959605585E9,CQerxfUPACDsSnBk3,2024-03-14T00:09:19.605Z,Exfiltration,T1048,True,none
1:QyTHRnsdmWv/WQc7sSFhTtR4HHM=,RSTR,10.179588079452515,ShADTadtTtTtFr,143.88.1.18,35607,143.88.2.20,445,false,false,0,15811,75216,224,tcp,5026,31160,212,"ntlm,dce_rpc,gssapi,smb",1.710450513505451E9,CTgEOf22ch782h3WC6,2024-03-14T21:08:33.505Z,Exfiltration,T1048,True,none
1:u4r+bokJ0jKb3a7rdX8MB2bPRfU=,RSTR,10.555227994918823,ShADTadtTtTtFr,143.88.1.18,35179,143.88.2.20,445,false,false,0,15139,70864,192,tcp,4611,28668,196,"ntlm,dce_rpc,gssapi,smb",1.710486977548856E9,Cnrr3y31jOvNAk5Xxg,2024-03-15T07:16:17.548Z,Exfiltration,T1048,True,none
1:P+ZwzmmIF+GLGwNYOhohuHbLYnw=,RSTR,10.629337787628174,ShADTadtTtTtFr,143.88.1.18,46009,143.88.2.20,445,false,false,0,15895,76400,224,tcp,5098,31912,220,"gssapi,smb,ntlm,dce_rpc",1.710484073500389E9,CvfJCy3cRNRmgt4xxb,2024-03-15T06:27:53.500Z,Exfiltration,T1048,True,none
1:yhEb55YBMPyFWWBSWgWqgbegX9Y=,RSTO,0.7386949062347412,ShADTFadtR,143.88.1.18,44301,143.88.2.20,445,false,false,0,73,1608,20,tcp,174,1400,12,gssapi,1.710564485357732E9,Cj2HdpmcqbxVBaBH,2024-03-16T04:48:05.357Z,Exfiltration,T1048,True,none
